"Monthly Climate Statistics for 'MERREDIN' [010092]"
"Created on [ 25 Sep 2024 14:38:59 UTC]"

"010092 MERREDIN"
"Commenced: 1903"
"Last Record: 2024"
"Latitude:   31.48 Degrees South"
"Longitude:  118.28 Degrees East"
"Elevation:     315 m"
"State: WA"

"Statistic Element","January","February","March","April","May","June","July","August","September","October","November","December","Annual","Number of Years","Start Year","End Year"
"Decile 5 (median) monthly rainfall (mm) for years 1800 to 3000 ",40.7,45.3,55.1,51.9,73.4,81.3,77.7,65.2,45.5,38.2,37.0,39.2, ,122,n/a,n/a
"Highest daily rainfall (mm) for years 1904 to 2024 ",65.5,66.0,82.6,59.7,49.3,59.4,44.7,37.0,44.7,49.0,37.6,48.5,82.6,118,1904,2024
"Date of Highest daily rainfall for years 1904 to 2024 ",02 Jan  1966,14 Feb  1951,19 Mar  1917,17 Apr  1919,18 May  1944,22 Jun  1972,21 Jul  1960,01 Aug  2015,21 Sep  1955,19 Oct  2014,01 Nov  2012,03 Dec  1940,19 Mar  1917,N/A,1904,2024
"Mean number of days of rain for years 1903 to 2024 ",2.3,2.6,3.2,4.5,7.7,10.8,11.8,10.3,7.2,5.0,3.3,2.5,71.2,117,1903,2024
"Mean number of days of rain >= 1 mm for years 1904 to 2024 ",1.7,1.8,2.5,3.1,5.6,7.7,8.5,7.4,4.9,3.6,2.4,1.8,51.0,118,1904,2024
"Mean number of days of rain >= 10 mm for years 1904 to 2024 ",0.4,0.4,0.6,0.6,1.1,1.3,1.3,0.9,0.5,0.4,0.3,0.4,8.2,118,1904,2024
"Mean number of days of rain >= 25 mm for years 1904 to 2024 ",0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.0,0.0,0.0,0.1,0.1,1.1,118,1904,2024
"Mean daily wind run (km) for years null to null ", , , , , , , , , , , , , ,, , 
"Maximum wind gust speed (km/h) for years null to null ", , , , , , , , , , , , , ,, , 
"Date of Maximum wind gust speed for years null to null ", , , , , , , , , , , , , ,N/A, , 
"Mean daily sunshine (hours) for years null to null ", , , , , , , , , , , , , ,, , 
"Mean daily solar exposure (MJ/(m*m)) for years 1990 to 2024 ",28.3,24.9,20.7,15.6,11.9,10.0,10.7,13.7,18.1,23.1,26.7,29.1,19.4,35,1990,2024
"Mean number of clear days for years 1966 to 2010 ",20.6,16.5,17.6,12.6,11.6,9.5,9.7,11.3,12.4,15.2,16.0,19.2,172.2,45,1966,2010
"Mean number of cloudy days for years 1966 to 2010 ",3.1,4.0,4.2,6.5,8.8,9.7,9.4,8.8,6.8,5.1,4.6,2.9,73.9,45,1966,2010
"Mean daily evaporation (mm) for years 1966 to 2024 ",10.7,9.3,7.4,4.8,3.0,2.0,1.9,2.5,3.8,5.9,8.1,9.8,5.8,37,1966,2024
"Mean 9am temperature (°C) for years 1966 to 2010 ",24.2,23.7,21.5,18.2,14.3,11.2,10.1,11.1,13.9,17.4,20.6,23.0,17.4,45,1966,2010
"Mean 9am wet bulb temperature (°C) for years 1966 to 2010 ",16.9,17.0,15.8,13.9,11.4,9.4,8.5,9.0,10.7,12.4,13.8,15.7,12.9,41,1966,2010
"Mean 9am dew point temperature (°C) for years 1966 to 2010 ",10.9,11.8,10.9,10.1,8.6,7.4,6.8,6.8,7.3,7.3,8.1,9.6,8.8,41,1966,2010
"Mean 9am relative humidity (%) for years 1966 to 2010 ",46,50,53,62,71,79,81,76,66,54,47,45,61,41,1966,2010
"Mean 9am cloud cover (okas) for years 1966 to 2010 ",1.9,2.3,2.4,3.2,3.5,3.7,3.7,3.3,3.2,2.9,2.7,1.9,2.9,45,1966,2010
"Mean 9am wind speed (km/h) for years 1966 to 2010 ",13.6,13.7,12.1,9.8,8.0,7.7,7.3,7.8,8.7,10.3,11.6,11.4,10.2,44,1966,2010
"Mean 3pm temperature (°C) for years 1966 to 2010 ",32.6,32.0,29.1,24.4,19.7,16.3,15.3,16.3,19.4,23.7,27.3,30.8,23.9,45,1966,2010
"Mean 3pm wet bulb temperature (°C) for years 1966 to 2010 ",19.2,19.5,18.3,16.1,13.7,12.1,11.3,11.4,12.8,14.4,16.3,17.9,15.3,41,1966,2010
"Mean 3pm dew point temperature (°C) for years 1966 to 2010 ",8.8,10.1,9.5,9.1,8.0,7.6,6.9,6.4,6.2,5.5,5.9,7.2,7.6,41,1966,2010
"Mean 3pm relative humidity (%) for years 1966 to 2010 ",26,29,32,41,50,59,60,54,45,34,28,25,40,41,1966,2010
"Mean 3pm cloud cover (oktas) for years 1966 to 2010 ",2.0,2.4,2.5,3.3,3.8,4.2,4.2,4.1,3.4,2.7,2.7,2.1,3.1,45,1966,2010
"Mean 3pm wind speed (km/h) for years 1966 to 2010 ",9.5,9.7,8.7,8.2,7.7,8.5,8.7,8.5,8.8,9.2,9.9,9.2,8.9,44,1966,2010
