Product code,Station number,Year,Month,Lowest temperature (°C),Day,Quality
IDCJAC0008,002056,1995,02,22.4,23,Y
IDCJAC0008,002056,1995,03,19.9,26,Y
IDCJAC0008,002056,1995,04,14.5,29,Y
IDCJAC0008,002056,1995,05,12.3,29,Y
IDCJAC0008,002056,1995,06,8.8,24,Y
IDCJAC0008,002056,1995,07,10.1,30,Y
IDCJAC0008,002056,1995,08,9.3,10,Y
IDCJAC0008,002056,1995,09,19.4,16,Y
IDCJAC0008,002056,1995,10,15.3,17,Y
IDCJAC0008,002056,1995,11,22.1,27,Y
IDCJAC0008,002056,1995,12,22.4,09,Y
IDCJAC0008,002056,1996,01,19.3,10,Y
IDCJAC0008,002056,1996,02,21.0,12,Y
IDCJAC0008,002056,1996,03,17.6,24,Y
IDCJAC0008,002056,1996,04,14.8,20,Y
IDCJAC0008,002056,1996,05,9.8,24,Y
IDCJAC0008,002056,1996,06,12.2,14,Y
IDCJAC0008,002056,1996,07,9.3,27,Y
IDCJAC0008,002056,1996,08,10.7,01,Y
IDCJAC0008,002056,1996,09,13.0,05,Y
IDCJAC0008,002056,1996,10,19.5,10,Y
IDCJAC0008,002056,1996,11,17.3,25,Y
IDCJAC0008,002056,1996,12,21.8,14,Y
IDCJAC0008,002056,1997,01,22.4,04,Y
IDCJAC0008,002056,1997,02,23.4,21,Y
IDCJAC0008,002056,1997,03,16.1,26,Y
IDCJAC0008,002056,1997,04,16.8,09,Y
IDCJAC0008,002056,1997,05,14.1,27,Y
IDCJAC0008,002056,1997,06,10.4,18,Y
IDCJAC0008,002056,1997,07,10.3,07,Y
IDCJAC0008,002056,1997,08,10.2,17,Y
IDCJAC0008,002056,1997,09,17.9,04,Y
IDCJAC0008,002056,1997,10,17.1,24,Y
IDCJAC0008,002056,1997,11,20.7,27,Y
IDCJAC0008,002056,1997,12,23.6,01,Y
IDCJAC0008,002056,1998,01,22.4,11,Y
IDCJAC0008,002056,1998,02,22.7,24,Y
IDCJAC0008,002056,1998,03,21.7,31,Y
IDCJAC0008,002056,1998,04,20.5,28,Y
IDCJAC0008,002056,1998,05,12.2,29,Y
IDCJAC0008,002056,1998,06,9.3,26,Y
IDCJAC0008,002056,1998,07,13.6,14,Y
IDCJAC0008,002056,1998,08,13.5,30,Y
IDCJAC0008,002056,1998,09,16.5,11,Y
IDCJAC0008,002056,1998,10,21.3,24,Y
IDCJAC0008,002056,1998,11,23.5,26,Y
IDCJAC0008,002056,1998,12,23.4,11,Y
IDCJAC0008,002056,1999,01,22.8,30,Y
IDCJAC0008,002056,1999,02,21.4,08,Y
IDCJAC0008,002056,1999,03,21.6,03,Y
IDCJAC0008,002056,1999,04,14.8,29,Y
IDCJAC0008,002056,1999,05,11.9,12,Y
IDCJAC0008,002056,1999,06,8.1,29,Y
IDCJAC0008,002056,1999,07,8.9,27,Y
IDCJAC0008,002056,1999,08,10.0,17,Y
IDCJAC0008,002056,1999,09,13.6,02,Y
IDCJAC0008,002056,1999,10,20.3,21,Y
IDCJAC0008,002056,1999,11,19.2,14,Y
IDCJAC0008,002056,1999,12,22.6,31,Y
IDCJAC0008,002056,2000,01,21.2,31,Y
IDCJAC0008,002056,2000,02,22.4,24,Y
IDCJAC0008,002056,2000,03,23.3,21,Y
IDCJAC0008,002056,2000,04,19.1,30,Y
IDCJAC0008,002056,2000,05,13.9,04,Y
IDCJAC0008,002056,2000,06,11.1,02,Y
IDCJAC0008,002056,2000,07,8.5,30,Y
IDCJAC0008,002056,2000,08,11.4,05,Y
IDCJAC0008,002056,2000,09,14.7,13,Y
IDCJAC0008,002056,2000,10,16.7,21,Y
IDCJAC0008,002056,2000,11,23.0,18,Y
IDCJAC0008,002056,2000,12,23.4,19,Y
IDCJAC0008,002056,2001,01,22.8,01,Y
IDCJAC0008,002056,2001,02,21.6,28,Y
IDCJAC0008,002056,2001,03,22.9,17,Y
IDCJAC0008,002056,2001,04,15.7,25,Y
IDCJAC0008,002056,2001,05,11.9,20,Y
IDCJAC0008,002056,2001,06,12.6,01,Y
IDCJAC0008,002056,2001,07,10.2,31,Y
IDCJAC0008,002056,2001,08,9.9,01,Y
IDCJAC0008,002056,2001,09,12.7,03,Y
IDCJAC0008,002056,2001,10,21.1,27,Y
IDCJAC0008,002056,2001,11,21.6,27,Y
IDCJAC0008,002056,2001,12,21.9,30,Y
IDCJAC0008,002056,2002,01,22.4,01,Y
IDCJAC0008,002056,2002,02,22.9,20,Y
IDCJAC0008,002056,2002,03,19.2,31,Y
IDCJAC0008,002056,2002,04,18.8,01,Y
IDCJAC0008,002056,2002,05,13.1,29,Y
IDCJAC0008,002056,2002,06,10.3,27,Y
IDCJAC0008,002056,2002,07,8.0,02,Y
IDCJAC0008,002056,2002,08,9.7,02,Y
IDCJAC0008,002056,2002,09,16.9,02,Y
IDCJAC0008,002056,2002,10,15.2,03,Y
IDCJAC0008,002056,2002,11,21.4,23,Y
IDCJAC0008,002056,2002,12,21.5,25,Y
IDCJAC0008,002056,2003,01,23.2,24,Y
IDCJAC0008,002056,2003,02,22.3,06,Y
IDCJAC0008,002056,2003,03,18.0,13,Y
IDCJAC0008,002056,2003,04,16.3,27,Y
IDCJAC0008,002056,2003,05,12.6,31,Y
IDCJAC0008,002056,2003,06,11.2,23,Y
IDCJAC0008,002056,2003,07,8.8,27,Y
IDCJAC0008,002056,2003,08,9.4,03,Y
IDCJAC0008,002056,2003,09,10.1,06,Y
IDCJAC0008,002056,2003,10,16.7,13,Y
IDCJAC0008,002056,2003,11,22.8,11,Y
