Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,002056,2024,04,11,16.4,1,N
IDCJAC0011,002056,2024,04,12,16.5,1,N
IDCJAC0011,002056,2024,04,13,23.4,1,N
IDCJAC0011,002056,2024,04,14,20.6,1,N
IDCJAC0011,002056,2024,04,15,20.0,1,N
IDCJAC0011,002056,2024,04,16,21.0,1,N
IDCJAC0011,002056,2024,04,17,21.5,1,N
IDCJAC0011,002056,2024,04,18,23.2,1,N
IDCJAC0011,002056,2024,04,19,20.3,1,N
IDCJAC0011,002056,2024,04,20,20.9,1,N
IDCJAC0011,002056,2024,04,21,21.7,1,N
IDCJAC0011,002056,2024,04,22,18.5,1,Y
IDCJAC0011,002056,2024,04,23,17.0,1,N
IDCJAC0011,002056,2024,04,24,18.4,1,N
IDCJAC0011,002056,2024,04,25,21.3,1,N
IDCJAC0011,002056,2024,04,26,23.9,1,N
IDCJAC0011,002056,2024,04,27,19.2,1,N
IDCJAC0011,002056,2024,04,28,16.5,1,N
IDCJAC0011,002056,2024,04,29,15.3,1,N
IDCJAC0011,002056,2024,04,30,21.1,1,N
IDCJAC0011,002056,2024,05,01,21.1,1,N
IDCJAC0011,002056,2024,05,02,22.7,1,N
IDCJAC0011,002056,2024,05,03,19.2,1,N
IDCJAC0011,002056,2024,05,04,21.8,1,N
IDCJAC0011,002056,2024,05,05,21.3,1,N
IDCJAC0011,002056,2024,05,06,22.3,1,N
IDCJAC0011,002056,2024,05,07,17.5,1,N
IDCJAC0011,002056,2024,05,08,18.8,1,N
IDCJAC0011,002056,2024,05,09,17.5,1,N
IDCJAC0011,002056,2024,05,10,18.6,1,N
IDCJAC0011,002056,2024,05,11,24.7,1,N
IDCJAC0011,002056,2024,05,12,21.9,1,N
IDCJAC0011,002056,2024,05,13,20.0,1,N
IDCJAC0011,002056,2024,05,14,19.3,1,N
IDCJAC0011,002056,2024,05,15,19.2,1,N
IDCJAC0011,002056,2024,05,16,18.8,1,N
IDCJAC0011,002056,2024,05,17,20.0,1,N
IDCJAC0011,002056,2024,05,18,19.4,1,N
IDCJAC0011,002056,2024,05,19,16.9,1,N
IDCJAC0011,002056,2024,05,20,18.9,1,Y
IDCJAC0011,002056,2024,05,21,12.8,1,N
IDCJAC0011,002056,2024,05,22,12.2,1,N
IDCJAC0011,002056,2024,05,23,14.6,1,N
IDCJAC0011,002056,2024,05,24,16.1,1,N
IDCJAC0011,002056,2024,05,25,16.8,1,N
IDCJAC0011,002056,2024,05,26,18.5,1,N
IDCJAC0011,002056,2024,05,27,19.0,1,N
IDCJAC0011,002056,2024,05,28,17.3,1,N
IDCJAC0011,002056,2024,05,29,17.6,1,N
IDCJAC0011,002056,2024,05,30,20.3,1,N
IDCJAC0011,002056,2024,05,31,20.6,1,N
IDCJAC0011,002056,2024,06,01,21.1,1,N
IDCJAC0011,002056,2024,06,02,20.6,1,Y
IDCJAC0011,002056,2024,06,03,16.5,1,N
IDCJAC0011,002056,2024,06,04,21.2,1,N
IDCJAC0011,002056,2024,06,05,16.7,1,N
IDCJAC0011,002056,2024,06,06,15.6,1,N
IDCJAC0011,002056,2024,06,07,12.2,1,N
IDCJAC0011,002056,2024,06,08,9.1,1,Y
IDCJAC0011,002056,2024,06,09,10.1,1,N
